id,name,tempat_turun,jumlah_ayat
quranum_majid.surat_1,Al-Fatihah,Mekah,7
quranum_majid.surat_2,Al-Baqarah,Madinah,286
quranum_majid.surat_3,Ali 'Imran,Madinah,200
quranum_majid.surat_4,An-Nisa',Madinah,176
quranum_majid.surat_5,Al-Ma'idah,Madinah,120
quranum_majid.surat_6,Al-An'am,Mekah,165
quranum_majid.surat_7,Al-A’raf,Mekah,206
quranum_majid.surat_8,Al-Anfal,Madinah,75
quranum_majid.surat_9,At-Taubah,Madinah,129
quranum_majid.surat_10,Yunus,Mekah,109
quranum_majid.surat_11,Hud,Mekah,123
quranum_majid.surat_12,Yusuf,Mekah,111
quranum_majid.surat_13,Ar-Ra’d,Mekah,43
quranum_majid.surat_14,Ibrahim,Mekah,52
quranum_majid.surat_15,Al-Hijr,Mekah,99
quranum_majid.surat_16,An-Nahl,Mekah,128
quranum_majid.surat_17,Al-Isra',Mekah,111
quranum_majid.surat_18,Al-Kahf,Mekah,110
quranum_majid.surat_19,Maryam,Mekah,98
quranum_majid.surat_20,Ta Ha,Mekah,135
quranum_majid.surat_21,Al-Anbiya,Mekah,112
quranum_majid.surat_22,Al-Hajj,Madinah,78
quranum_majid.surat_23,Al-Mu’minun,Mekah,118
quranum_majid.surat_24,An-Nur,Madinah,64
quranum_majid.surat_25,Al-Furqan,Mekah,77
quranum_majid.surat_26,Asy-Syu'ara',Mekah,227
quranum_majid.surat_27,An-Naml,Mekah,93
quranum_majid.surat_28,Al-Qasas,Mekah,88
quranum_majid.surat_29,Al-'Ankabut,Mekah,69
quranum_majid.surat_30,Ar-Rum,Mekah,60
quranum_majid.surat_31,Luqman,Mekah,34
quranum_majid.surat_32,As-Sajdah,Mekah,30
quranum_majid.surat_33,Al-Ahzab,Madinah,73
quranum_majid.surat_34,Saba’,Mekah,54
quranum_majid.surat_35,Fatir,Mekah,45
quranum_majid.surat_36,Ya Sin,Mekah,83
quranum_majid.surat_37,As-Saffat,Mekah,182
quranum_majid.surat_38,Sad,Mekah,88
quranum_majid.surat_39,Az-Zumar,Mekah,75
quranum_majid.surat_40,Al-Mu’min,Mekah,85
quranum_majid.surat_41,Fussilat,Mekah,54
quranum_majid.surat_42,Asy-Syura,Mekah,53
quranum_majid.surat_43,Az-Zukhruf,Mekah,89
quranum_majid.surat_44,Ad-Dukhan,Mekah,59
quranum_majid.surat_45,Al-Jasiyah,Mekah,37
quranum_majid.surat_46,Al-Ahqaf,Mekah,35
quranum_majid.surat_47,Muhammad,Madinah,38
quranum_majid.surat_48,Al-Fath,Madinah,29
quranum_majid.surat_49,Al-Hujurat,Madinah,18
quranum_majid.surat_50,Qaf,Mekah,45
quranum_majid.surat_51,Az-Zariyat,Mekah,60
quranum_majid.surat_52,At-Tur,Mekah,49
quranum_majid.surat_53,An-Najm,Mekah,62
quranum_majid.surat_54,Al-Qamar,Mekah,55
quranum_majid.surat_55,Ar-Rahman,Madinah,78
quranum_majid.surat_56,Al-Waqi’ah,Mekah,96
quranum_majid.surat_57,Al-Hadid,Madinah,29
quranum_majid.surat_58,Al-Mujadilah,Madinah,22
quranum_majid.surat_59,Al-Hasyr,Madinah,24
quranum_majid.surat_60,Al-Mumtahanah,Madinah,13
quranum_majid.surat_61,As-Saff,Madinah,14
quranum_majid.surat_62,Al-Jumu’ah,Madinah,11
quranum_majid.surat_63,Al-Munafiqun,Madinah,11
quranum_majid.surat_64,At-Tagabun,Madinah,18
quranum_majid.surat_65,At-Talaq,Madinah,12
quranum_majid.surat_66,At-Tahrim,Madinah,12
quranum_majid.surat_67,Al-Mulk,Mekah,30
quranum_majid.surat_68,Al-Qalam,Mekah,52
quranum_majid.surat_69,Al-Haqqah,Mekah,52
quranum_majid.surat_70,Al-Ma’arij,Mekah,44
quranum_majid.surat_71,Nuh,Mekah,28
quranum_majid.surat_72,Al-Jinn,Mekah,28
quranum_majid.surat_73,Al-Muzzammil,Mekah,20
quranum_majid.surat_74,Al-Muddassir,Mekah,56
quranum_majid.surat_75,Al-Qiyamah,Mekah,40
quranum_majid.surat_76,Al-Insan,Madinah,31
quranum_majid.surat_77,Al-Mursalat,Mekah,50
quranum_majid.surat_78,An-Naba’,Mekah,40
quranum_majid.surat_79,An-Nazi’at,Mekah,46
quranum_majid.surat_80,'Abasa,Mekah,42
quranum_majid.surat_81,At-Takwir,Mekah,29
quranum_majid.surat_82,Al-Infitar,Mekah,19
quranum_majid.surat_83,Al-Tatfif,Mekah,36
quranum_majid.surat_84,Al-Insyiqaq,Mekah,25
quranum_majid.surat_85,Al-Buruj,Mekah,22
quranum_majid.surat_86,At-Tariq,Mekah,17
quranum_majid.surat_87,Al-A’la,Mekah,19
quranum_majid.surat_88,Al-Gasyiyah,Mekah,26
quranum_majid.surat_89,Al-Fajr,Mekah,30
quranum_majid.surat_90,Al-Balad,Mekah,20
quranum_majid.surat_91,Asy-Syams,Mekah,15
quranum_majid.surat_92,Al-Lail,Mekah,21
quranum_majid.surat_93,Ad-Duha,Mekah,11
quranum_majid.surat_94,Al-Insyirah,Mekah,8
quranum_majid.surat_95,At-Tin,Mekah,8
quranum_majid.surat_96,Al-'Alaq,Mekah,19
quranum_majid.surat_97,Al-Qadr,Mekah,5
quranum_majid.surat_98,Al-Bayyinah,Madinah,8
quranum_majid.surat_99,Az-Zalzalah,Madinah,8
quranum_majid.surat_100,Al-'Adiyat,Mekah,11
quranum_majid.surat_101,Al-Qari'ah,Mekah,11
quranum_majid.surat_102,At-Takasur,Mekah,8
quranum_majid.surat_103,Al-'Asr,Mekah,3
quranum_majid.surat_104,Al-Humazah,Mekah,9
quranum_majid.surat_105,Al-Fil,Mekah,5
quranum_majid.surat_106,Quraisy,Mekah,4
quranum_majid.surat_107,Al-Ma’un,Mekah,7
quranum_majid.surat_108,Al-Kausar,Mekah,3
quranum_majid.surat_109,Al-Kafirun,Mekah,6
quranum_majid.surat_110,An-Nasr,Madinah,3
quranum_majid.surat_111,Al-Lahab,Mekah,5
quranum_majid.surat_112,Al-Ikhlas,Mekah,4
quranum_majid.surat_113,Al-Falaq,Mekah,5
quranum_majid.surat_114,An-Nas,Mekah,6
